Stock Name,Date,Open,High,Low,Close,Volume,Chg%
UltraTech Cement Ltd.,2023-08-16 00:00:00,8004.95,8265.0,7987.65,8251.9,282780.0,2.45
Tata Motors Ltd.,2021-01-11 00:00:00,199.9,225.4,199.65,220.65,182480000.0,11.36
Tata Consultancy Services Ltd.,2020-02-28 00:00:00,2068.0,2069.5,1990.0,2000.15,4300000.0,-5.0
Bajaj Finance Ltd.,2023-01-10 00:00:00,5999.0,6015.0,5875.0,5904.15,1120000.0,-1.49
HDFC Life Insurance Company Ltd.,2020-06-04 00:00:00,521.15,524.95,512.3,517.6,11740000.0,3.24
JSW Steel Ltd.,2022-03-30 00:00:00,750.0,750.7,714.95,717.55,5990000.0,-4.82
Tata Steel Ltd.,2021-12-02 00:00:00,108.3,111.6,107.4,111.24,91290000.0,2.76
Reliance Industries Ltd.,2023-09-15 00:00:00,2468.0,2468.0,2449.5,2457.85,12730000.0,0.19
Bharat Petroleum Corp. Ltd.,2021-01-12 00:00:00,372.82,379.79,369.06,373.8,8330000.0,0.2
Cipla Ltd.,2022-08-16 00:00:00,1027.15,1036.0,1025.25,1034.55,776410.0,0.72
Hindustan Unilever Ltd.,2023-02-10 00:00:00,2585.0,2586.65,2555.35,2577.5,1520000.0,-0.36
Coal India Ltd.,2020-05-05 00:00:00,143.9,147.25,137.35,138.0,11880000.0,-3.02
UltraTech Cement Ltd.,2022-02-07 00:00:00,7439.65,7518.95,7362.5,7469.35,391480.0,0.4
ICICI Bank Ltd.,2020-04-09 00:00:00,332.4,345.0,322.65,342.7,52430000.0,7.45
SBI Life Insurance Company Ltd.,2023-04-10 00:00:00,1119.4,1119.45,1104.05,1106.25,985730.0,-0.9
JSW Steel Ltd.,2021-03-16 00:00:00,433.95,433.95,419.35,425.95,8100000.0,-0.86
Power Grid Corporation of India Ltd.,2020-12-11 00:00:00,107.54,108.23,106.51,107.04,14880000.0,0.18
SBI Life Insurance Company Ltd.,2019-11-04 00:00:00,1003.0,1003.1,989.7,998.7,875740.0,0.12
Divi's Laboratories Ltd.,2021-03-18 00:00:00,3398.95,3398.95,3255.1,3272.9,622940.0,-3.12
Adani Ports and Special Economic Zone Ltd.,2022-06-16 00:00:00,711.95,717.1,677.0,681.7,4300000.0,-3.13
Mahindra & Mahindra Ltd.,2022-04-26 00:00:00,906.6,942.9,906.6,940.15,6380000.0,4.0
Tata Consumer Products Ltd.,2022-09-22 00:00:00,800.55,807.75,788.0,803.2,1260000.0,-0.12
Oil And Natural Gas Corporation Ltd.,2021-09-22 00:00:00,134.5,135.25,132.45,133.65,16420000.0,-1.15
Dr. Reddy's Laboratories Ltd.,2020-09-02 00:00:00,4351.25,4397.4,4316.7,4352.75,603700.0,0.02
NTPC Ltd.,2022-08-08 00:00:00,155.5,160.0,154.95,159.4,16960000.0,2.44
Power Grid Corporation of India Ltd.,2021-05-05 00:00:00,120.87,122.15,120.18,120.96,23180000.0,0.07
Adani Enterprises Ltd.,2021-05-05 00:00:00,1274.4,1288.25,1240.25,1267.5,7810000.0,0.4
Nestle India Ltd.,2020-03-24 00:00:00,13889.0,13889.0,12200.0,13478.35,258690.0,4.12
